"","rank","club","country","points"
"255",255,"Beşiktaş","Turkey",1517
"256",256,"Eibar","Spain",1517
"257",257,"KRC Genk","Belgium",1516
"258",258,"Zalgiris Vilnius","Lithuania",1516
"259",259,"Swansea City","England",1515
"260",260,"Wigan Athletic","England",1515
"261",261,"Al Shabab","Saudi Arabia",1514
"262",262,"Olimpia","Paraguay",1514
"263",263,"Levski Sofia","Bulgaria",1513
"264",264,"Junior FC","Colombia",1513
"265",265,"1º de Agosto","Angola",1512
"266",266,"Genoa","Italy",1512
"267",267,"AFC Bournemouth","England",1512
"268",268,"Djurgården","Sweden",1512
"269",269,"Club Atlético Platense","Argentina",1511
"270",270,"Club Puebla","Mexico",1510
"271",271,"Hertha BSC","Germany",1510
"272",272,"Al Hilal Omdurman","Sudan",1510
"273",273,"Real Valladolid","Spain",1509
"274",274,"Sepahan","Iran",1508
"275",275,"DSC Arminia Bielefeld","Germany",1508
"276",276,"Cuiaba","Brazil",1508
"277",277,"Pakhtakor Tashkent","Uzbekistan",1508
"278",278,"Sport Recife","Brazil",1507
"279",279,"Anorthosis","Cyprus",1505
"280",280,"Sporting Gijón","Spain",1504
"281",281,"FC Utrecht","Netherlands",1504
"282",282,"Royal Antwerp FC","Belgium",1503
"283",283,"Etoile du Sahel","Tunisia",1503
"284",284,"Dynamos","Zimbabwe",1503
"285",285,"Lech Poznań","Poland",1502
"286",286,"ASD Spezia Calcio 2008","Italy",1502
"287",287,"Timişoara","Romania",1502
"288",288,"Al Ittihad","Saudi Arabia",1501
"289",289,"Neath Athletic","Wales",1501
"290",290,"Hapoel Be'er Sheva","Israel",1499
"291",291,"Hammarby IF","Sweden",1499
"292",292,"Birmingham City","England",1498
"293",293,"Team Wellington","New Zealand",1498
"294",294,"Vitesse","Netherlands",1498
"295",295,"Empoli FC","Italy",1498
"296",296,"Zrinjski Mostar","Bosnia and Herzegovina",1497
"297",297,"Deportivo Alaves","Spain",1497
"298",298,"Club Sport Herediano","Costa Rica",1497
"299",299,"Rapid Wien","Austria",1496
"300",300,"Colón Santa Fe","Argentina",1496
"301",301,"Werder Bremen","Germany",1496
"302",302,"Cruzeiro","Brazil",1495
"303",303,"Sporting Cristal","Peru",1494
"304",304,"Vitória Guimarães","Portugal",1494
"305",305,"Catania","Italy",1494
"306",306,"CSD Comunicaciones","Guatemala",1493
"307",307,"Atletico Petro Luanda","Angola",1492
"308",308,"Vasco da Gama","Brazil",1492
"309",309,"Deportivo Xerez","Spain",1491
"310",310,"Goiás","Brazil",1491
"311",311,"Stade Malien Bamako","Mali",1490
"312",312,"Zürich","Switzerland",1490
"313",313,"Sochaux","France",1490
"314",314,"MOL Fehérvár FC","Hungary",1490
"315",315,"Olimpija Ljubljana","Slovenia",1489
"316",316,"Dundalk FC","Ireland",1489
"317",317,"Monarcas Morelia","Mexico",1488
"318",318,"Baník Ostrava","Czech Republic",1488
"319",319,"Konyaspor","Turkey",1488
"320",320,"Brest","France",1487
"321",321,"Deportivo Cali","Colombia",1487
"322",322,"Pyramids FC","Egypt",1487
"323",323,"Cagliari","Italy",1487
"324",324,"Alianza FC","El Salvador",1486
"325",325,"Al-Merreikh","Sudan",1486
"326",326,"Deportivo La Coruña","Spain",1486
"327",327,"Čukarički","Serbia",1485
"328",328,"Gil Vicente FC","Portugal",1485
"329",329,"Connah's Quay","Wales",1484
"330",330,"Liverpool","Uruguay",1483
"331",331,"SC Dnipro-1","Ukraine",1482
"332",332,"Pumas UNAM","Mexico",1482
"333",333,"Alanyaspor","Turkey",1482
"334",334,"Godoy Cruz Antonio Tomba","Argentina",1481
"335",335,"U.S. Salernitana 1919","Italy",1481
"336",336,"Sturm Graz","Austria",1481
"337",337,"Jiangsu Suning FC","China PR",1481
"338",338,"Sivasspor","Turkey",1479
"339",339,"Rosenborg BK","Norway",1479
"340",340,"Coton Sport","Cameroon",1479
"341",341,"Motagua","Honduras",1478
"342",342,"Al Ahli","United Arab Emirates",1478
